Cote ,Titre ,Auteur,Lieu ,Edition ,Annee ,Nb pages,Matiere,Inventaire
"""341/03",القانون الدولي العام,"القادري, عبد القادر",الرباط,مكتبة المعارف,1984.0,632,القانون الدولي,15209
"""341/05",قضايا القانون الدولي العام,"القادري, عبد القادر",البيضاء,دار توبقال للنشر,1987.0,103,القانون الدولي,20289
"""341/05 مكرر",قضايا القانون الدولي العام,"القادري, عبد القادر",البيضاء,دار توبقال للنشر,1987.0,103,القانون الدولي,18490
"""964/104",مقدمة كتاب التقاط الدرر,"القادري, محمد بن الطيب",بيروت,دار الآفاق الجديدة,1981.0,306,تاريخ المغرب,9500
"""964/104 مكرر",كتاب التقاط الدرر ومستفاد المواعظ والعبر من أخبار وأعيان المائة والتانية عشر,"القادري, محمد بن الطيب",بيروت,دار الآفاق الجديدة,1983.0,494,تاريخ المغرب,16640
"""964/31 ج1",نشر المثاني لاهل القرن الحادي عشر والثاني,"القادري, محمد بن الطيب",الرباط,دار المغرب,1977.0,380,تاريخ المغرب,11560
"""964/32 ج2",نشر المثاني لاهل القرن الحادي عشر والثاني,"القادري, محمد بن الطيب",الرباط,مكتبة الطالب,1982.0,406,تاريخ المغرب (التراث),11561
"""82-32/02",عبد الرحمن مجيد الربيعي والبطل السلبي في القصة العربية المعاصرة,"القاسم, أفنان",بيروت,عالم الكتب,1984.0,507,القصة,17398
"""82-1/24",شخص غير مرغوب فيه,"القاسم, سميح",بيروت,دار الكلمة,1986.0,127,ديوان شعري,18343
"""82-1/64",ديوان سميح القاسم شاعر المقاومة الفلسطينية,"القاسم, سميح",بيروت,دار العودة,1973.0,768,ديوان شعري,10650
"""612.39/05",نظرة تحليلية في مشكلة الغداء في البلدان العربية,"القاسم, صبحي",الاردن,مؤسسة عبد الحميد شومان,1982.0,358,التغدية,12416
"""612.39/05 مكرر1",نظرة تحليلة في مشكلة الغذاء في البلدان,"القاسم, صبحي",بيروت,مطابع الشرق,1982.0,358,التغدية,22689
"""612.39/05 مكرر2",نظرة تحليلية في مشكلة الغذاء في البلدان العربية,"القاسم, صبحي",بيروت,مطابع الشرق,1982.0,358,التغدية,26652
"""612.39/06",ملخص كتاب نظرة تحليلية في مشكلة الغداء في البلدان العربية,"القاسم, صبحي",الاردن,مؤسسة عبد الحميد شومان,1982.0,103,التغدية,12417
"""347_569.1/01",محاضرات في القانون المدني,"القاسم, هشام",دمشق,جامعة دمشق,1992.0,244,القانون المدني,25453
"""331/10",العمالة الاجنبية وآثارها السلبية على دول مجلس التعاون الخليجي,"القاسمي, خالد بن محمد",,دار الثقافة العربية للنشر والترجمة والتوزيع,1988.0,141,القانون الاجتماعي,19763
"""371.3/21",مختبر اللغة,"القاسمي, علي",الكويت,دار القلم,1970.0,278,مناهج وطرق التدريس,5521
"""297.417/82",موعظة المؤمنين من إحياء علوم الدين. الجزء الأول والتاني,"القاسمي, محمد جمال الدين",بيروت,دار النفائس,1986.0,541,الوعظ,20206
"""93:297/114",رسالة افتتاح الدعوة: رسالة في ظهور الدعوة العبدية الفاطمية,"القاضي النعمان, بن محمد",بيروت,دار الثقافة,1970.0,310,تاريخ الإسلام,7806
"""297.2/69",مشارق الأنوار على صحاح الآثار. الجزء الأول,القاضي عياض بن موسى اليحصبي السبتي,الرباط,وزارة الأوقاف والشؤون الإسلامية,1982.0,543,الحديث,12198
"""297.2/70",مشارق الأنوار على صحاح الآثار. الجزء التاني,القاضي عياض بن موسى اليحصبي السبتي,الرباط,وزارة الأوقاف والشؤون الإسلامية,1983.0,541,الحديث,12199
"""82-1_مغ/02",الأرجوزة المختارة,"القاضي, النعمان",مونتريال,معهد الدراسات الإسلامية,1980.0,357,الأدب المغربي,4586
"""336.126/20","مراجعة الحسابات ""الإجراءات""","القاضي, حسين",دمشق,جامعة دمشق,1992.0,345,المحاسبة العمومية,25579
"""338.33/16","مراجعة الحسابات ""الإساسيات""","القاضي, حسين",دمشق,جامعة دمشق,1992.0,391,المقاولات,25602
"""338.93/17",المحاسبة الخاصة. ج1,"القاضي, حسين",دمشق,جامعة دمشق,1986.0,494,المقاولات,25587
"""338.93/18",نظرية المحاسبة,"القاضي, حسين",دمشق,جامعة دمشق,1991.0,479,المقاولات,25458
"""297.2/21",بغية الرائد لما تضمنه حديث أم زرع من الفوائد و معه تفسير الحديث للحافظ السيوطي,"القاضي, عياض بن موسى اليحصبي",المحمدية,مطبعة فضالة,1982.0,239,الحديث,12226
"""665.6/17",تقانة إنتاج النفط,"القاضي, محمد",الرباط,المنظمة الإسلامية للتربية والعلوم والثقافة,1999.0,214,التكنولوجيا النفطية,28225
"""801.56/45",كتاب الأمالي,"القالي البغدادي, ابو علي إسماعيل بن القاسم",بيروت,دار الآفاق الجديدة,,326,النحو العربي,4732
"""801.56/46",كتاب ذيل الأمالي والنوادر,"القالي البغدادي, ابو علي إسماعيل بن القاسم",بيروت,دار الآفاق الجديدة,,225,النحو العربي,4733
"""343.21/01",,القانون الجنائي المغربي,,,,250,القانون الجنائي,1056
"""347_64/05",المطبعة الرسية,القانون المتعلق بتحديد النظام الأساسي العام للتعاونيات ومهام مكتب تنمية التعاون,الرباط,,1985.0,80,القانون المدني,15234
"""82-1 _مغ/10 مكرر 2",الأدب العربي في المغرب الأقصى,"القباج, محمد بن العباس",المحمدية,مطابع فضالة,1979.0,131,الأدب العربي,1653
"""82-1_مغ/10 ج1-2",الادب العربي في المغرب الأقصى,"القباج, محمد بن العباس",المحمدية,مطابع فضالة,1979.0,131,الأدب المغربي,6184
"""82-1_مغ/10 ج1-2 مكرر",الأدب العربي في المغرب الأقصى,"القباج, محمد بن العباس",المحمدية,مطابع فضالة,1979.0,131,الأدب المغربي,6185
"""612.39/01",الغداء... لا الدواء,"القباني, صبري",بيروت,دار العلم للملايين,1984.0,638,التغدية,17433
"""964/78",رسائل ديوانية من سبتة في العهد العرفي,"القبتوري, خلف الغافقي",الرباط,المطبعة الملكية,1979.0,140,تاريخ المغرب,5254
"""964/122",مراجعات حول المجتمع والثقافة بالمغرب الوسيط,"القبلي, محمد",بيروت,دار توبقال,1987.0,126,تاريخ المغرب,20288
"""964/133",مراجعات حول المجتمع والتقافة بالمغرب الوسيط,"القبلي, محمد",بيروت,دار توبقال للنشر,1987.0,126,تاريخ المغرب,18503
"""964/133 مكرر",مراجعات حول المجتمع والثقافة بالمغرب الوسيط,"القبلي, محمد",البيضاء,دار توبقال للنشر,1974.0,126,تاريخ المغرب,18503
"""531/11 ج6",الميكانيك,"القدسي, وجيه",دمشق,جامعة دمشق,1992.0,209,الميكانيك,26231
"""621/20 ج1",موجز الميكايك. الجزء الأول,"القدسي, وجيه",دمشق,جامعة دمشق,1992.0,205,الهندسة الميكانيكية,24499
"""964/178مكرر",سفراء مغاربة في أوربا,القدوري عبد المجيد,الرباط,منشورات كلية الآداب والعلوم الانسانية,1995.0,154,تاريخ المغرب,29082
"""964/228",وقفات في تاريخ المغرب: دراسات مهداة للاستاذ ابراهيم بوطالب,القدوري عبد المجيد,الرباط,منشورات كلية الآداب والعلوم الانسانية,2001.0,709,تاريخ المغرب,29160
"""964/178",سفراء مغاربة في أوربا (1610 - 1922) في الوعي بالتفاوت,"القدوري, عبد المجيد",الدار البيضاء,مطبعة النجاح الجديدة,1995.0,160,تاريخ المغرب,6948
"""964/203",البحر في المتخيل المغربي,"القدوري, عبد المجيد",,,1998.0,32,تاريخ المغرب,27969
"""964/203 مكرر",البحر في المتخيل المغربي,"القدوري, عبد المجيد",,,1998.0,32,تاريخ المغرب,27968
"""297.1/18",دار الكتاب,القرآن الكريم,الدار البيضاء,,,210,القرآن,5080
"""297.1/19",مطبعة فضالة,القرآن الكريم,المحمدية,,,640,القرآن,12302
"""297.1/20",مطبعة فضالة,القرآن الكريم,المحمدية,,,640,القرآن,12303
"""297.1/21",دار إحياء العلوم,القرآن الكريم,الدار البيضاء,,,600,القرآن,2689
"""297.1/25",المجمع الملك فهد,القرآن الكريم,الرياض,,,604,القرآن,23674
"""297.1/26",مطبعة فضالة,القرآن الكريم,,,,646,القرآن,17996
"""297.125/107",مجمع الملك فهد للطباعة المصحف الشريف,القرآن الكريم,المملكة العربية السعودية,,,604,القرآن,23673
"""336.6/16",,القراض الزراعي في المنظور التنموي,عمان,,,273,الإقتصاد السياسي,3819
"""631.8/04",الخصوبة وتغدية النبات,"القراوني, محي الدين",حلب,,1981.0,220,الأسمدة,26032
"""82-1_قد/07",جمهرة أشعار العرب,"القرشي, أبو زيد محمد بن أبي الخطاب",بيروت,دار المسيرة,1978.0,200,الأدب القديم,8994
